name,startStr,endWStr,contractMonth,startDay1,endWeek,endWeekDay,endTradeDay,endDay,isFixDayEND,isWeekEnd,stopMonth,tradePeriod1,tradePeriod2,tradePeriod3,tradePeriod4,sector
中证500指数,IC,.CFE,,2014/4/16,2,5,,,,1,,"9:15,11:30","13:00,15:15",,,StockIndex
沪深300股指,IF,.CFE,,2010/4/16,3,5,,,,1,,"9:15,11:30","13:00,15:15",,,StockIndex
上证50股指,IH,.CFE,,2014/3/21,3,5,,,,1,,"9:15,11:30","13:00,15:15",,,StockIndex
10年国债期货,T,.CFE,,2015/8/6,2,5,,,,1,"1,2,4,5,7,8,10,11","9:15,11:30","13:00,15:15",,,DebtIndex
5年国债期货,TF,.CFE,,2013/9/6,2,5,,,,1,"1,2,4,5,7,8,10,11","9:15,11:30","13:00,15:15",,,DebtIndex
郑商棉花,CF,.CZC,,2004/11/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商早籼稻,ER,.CZC,,2009/9/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商玻璃,FG,.CZC,,2013/3/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Industry
郑商粳稻,JR,.CZC,,2014/3/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商晚籼稻,LR,.CZC,,2014/11/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商甲醇,MA,.CZC,,2012/3/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Industry
郑商菜油,OI,.CZC,,2013/7/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商普麦,PM,.CZC,,2013/1/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商菜籽粕,RM,.CZC,,2013/7/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商油菜籽,RS,.CZC,,2013/5/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商硅铁,SF,.CZC,,2014/11/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Mineral
郑商锰硅,SM,.CZC,,2014/11/1,,,10,,,,,"9:15,11:30","13:30,15:00",,,Mineral
郑商白糖,SR,.CZC,,2006/5/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商PTA,TA,.CZC,,2007/2/1,,,10,,,,,"9:15,11:30","13:30,15:00",,,Industry
郑商强麦,WH,.CZC,,2013/7/1,,,10,,,,"2,4,6,8,10,12","9:15,11:30","13:30,15:00",,,Agriculture
郑商动力煤,ZC,.CZC,,2016/5/1,,,5,,,,,"9:15,11:30","13:30,15:00",,,Mineral
大商豆一,A,.DCE,,1999/3/1,,,10,,,,"2,4,6,8,10,12","9:00,11:30","13:30,15:00",,,Agriculture
大商豆二,B,.DCE,,2005/3/1,,,10,,,,"2,4,6,8,10,12","9:00,11:30","13:30,15:00",,,Agriculture
大商胶合板,BB,.DCE,,2014/4/1,,,10,,,,,"9:00,11:30","13:30,15:00",,,Industry
大商玉米,C,.DCE,,2005/1/1,,,10,,,,"2,4,6,8,10,12","9:00,11:30","13:30,15:00",,,Agriculture
大商玉米淀粉,CS,.DCE,,2015/3/1,,,10,,,,"2,4,6,8,10,12","9:00,11:30","13:30,15:00",,,Agriculture
大商纤维板,FB,.DCE,,2014/4/1,,,10,,,,,"9:00,11:30","13:30,15:00",,,Industry
大商铁矿石,I,.DCE,,2014/4/1,,,10,,,,,"9:00,11:30","13:30,15:00",,,Mineral
大商焦炭,J,.DCE,,2011/9/1,,,10,,,,,"9:00,11:30","13:30,15:00",,,Mineral
大商鸡蛋,JD,.DCE,,2014/3/1,,,10,,,,"2,4,6,8,10,12","9:00,11:30","13:30,15:00",,,Agriculture
大商焦煤,JM,.DCE,,2014/7/1,,,10,,,,,"9:00,11:30","13:30,15:00",,,Mineral
大商塑料,L,.DCE,,2007/10/1,,,10,,,,,"9:00,11:30","13:30,15:00",,,Industry
大商豆粕,M,.DCE,,2000/11/1,,,10,,,,"2,4,6,8,10,12","9:00,11:30","13:30,15:00",,,Agriculture
大商棕榈油,P,.DCE,,2008/1/1,,,10,,,,"2,4,6,8,10,12","9:00,11:30","13:30,15:00",,,Agriculture
大商聚丙烯,PP,.DCE,,2014/5/1,,,10,,,,,"9:00,11:30","13:30,15:00",,,Industry
大商PVC,V,.DCE,,2009/9/1,,,10,,,,,"9:00,11:30","13:30,15:00",,,Industry
大商豆油,Y,.DCE,,2006/3/1,,,10,,,,"2,4,6,8,10,12","9:00,11:30","13:30,15:00",,,Agriculture
沪白银,AG,.SHF,,2012/9/1,,,,15,,0,,"9:15,11:30","13:30,15:00","21:00,2:30",,Precious
沪铝,AL,.SHF,,1995/5/1,,,,15,,0,,"9:00,10:15","10:30,11:30","13:30,15:00","21:00,1:00",Metal
沪黄金,AU,.SHF,,2008/6/1,,,,15,,0,,"9:15,11:30","13:30,15:00","21:00,2:30",,Precious
沪石油沥青,BU,.SHF,,2014/2/1,,,,15,,0,"7,8,10,11","9:15,11:30","13:30,15:00","21:00,23:00",,Industry
沪铜,CU,.SHF,,1993/3/1,,,,15,,0,,"9:00,10:15","10:30,11:30","13:30,15:00","21:00,1:00",Metal
沪燃油,FU,.SHF,,2005/1/1,,,,15,,0,,"9:15,11:30","13:30,15:00",,,Industry
沪热轧卷板,HC,.SHF,,2014/7/1,,,,15,,0,,"9:15,11:30","13:30,15:00","21:00,23:00",,Industry
沪镍,NI,.SHF,,2015/7/1,,,,15,,0,,"9:15,11:30","13:30,15:00","21:00,1:00",,Metal
沪铅,PB,.SHF,,2011/9/1,,,,15,,0,,"9:00,10:15","10:30,11:30","13:30,15:00","21:00,1:00",Metal
沪螺纹钢,RB,.SHF,,2009/9/1,,,,15,,0,,"9:15,11:30","13:30,15:00","21:00,23:00",,Metal
沪橡胶,RU,.SHF,,1995/7/1,,,,15,,0,"2,12","9:15,11:30","13:30,15:00","21:00,23:00",,Industry
沪锡,SN,.SHF,,2015/7/1,,,,15,,0,,"9:15,11:30","13:30,15:00","21:00,1:00",,Metal
沪线材,WR,.SHF,,2009/9/1,,,,15,,0,,"9:15,11:30","13:30,15:00",,,Industry
沪锌,ZN,.SHF,,2007/7/1,,,,15,,0,,"9:00,10:15","10:30,11:30","13:30,15:00","21:00,1:00",Metal
